Publikationsjahr	Indikator_Nr	jahr_num	jahr_char	Wert	Indikator_Label	Indikator_Name	Wohnviertel_id	Wohnviertel	Rang
2025	8	2024	2024	0.4116757982	Jugendquotient	Jugendquotient	7	Bruderholz	20
2025	8	2024	2024	0.3219313411	Jugendquotient	Jugendquotient	8	Bachletten	16
2025	8	2024	2024	0.273336414	Jugendquotient	Jugendquotient	9	Gotthelf	13
2025	8	2024	2024	0.2719865603	Jugendquotient	Jugendquotient	10	Iselin	12
2025	8	2024	2024	0.2618719363	Jugendquotient	Jugendquotient	11	St. Johann	10
2025	8	2024	2024	0.128413713	Jugendquotient	Jugendquotient	12	Altstadt Kleinbasel	1
2025	8	2024	2024	0.1823687752	Jugendquotient	Jugendquotient	13	Clara	3
2025	8	2024	2024	0.2260327358	Jugendquotient	Jugendquotient	14	Wettstein	7
2025	8	2024	2024	0.3718253243	Jugendquotient	Jugendquotient	15	Hirzbrunnen	18
2025	8	2024	2024	0.2804878049	Jugendquotient	Jugendquotient	16	Rosental	14
2025	8	2024	2024	0.2063063901	Jugendquotient	Jugendquotient	17	Matthäus	6
2025	8	2024	2024	0.268220962	Jugendquotient	Jugendquotient	18	Klybeck	11
2025	8	2024	2024	0.3123515439	Jugendquotient	Jugendquotient	19	Kleinhüningen	15
2025	8	2024	2024	0.4132397192	Jugendquotient	Jugendquotient	20	Riehen	21
2025	8	2024	2024	0.3926031294	Jugendquotient	Jugendquotient	30	Bettingen	19
2025	9	2024	2024	1823.236893203883	Baujahr&nbsp;Wohngebäude	Baujahrwohngebaeude	1	Altstadt Grossbasel	1
2025	9	2024	2024	1899.336996336996	Baujahr&nbsp;Wohngebäude	Baujahrwohngebaeude	2	Vorstädte	3
2025	9	2024	2024	1921.081239530988	Baujahr&nbsp;Wohngebäude	Baujahrwohngebaeude	3	Am Ring	4
2025	9	2024	2024	1942.762048192771	Baujahr&nbsp;Wohngebäude	Baujahrwohngebaeude	4	Breite	15
2025	9	2024	2024	1940.98178807947	Baujahr&nbsp;Wohngebäude	Baujahrwohngebaeude	5	St. Alban	14
2025	9	2024	2024	1933.126044568245	Baujahr&nbsp;Wohngebäude	Baujahrwohngebaeude	6	Gundeldingen	8
2025	9	2024	2024	1950.297963050686	Baujahr&nbsp;Wohngebäude	Baujahrwohngebaeude	7	Bruderholz	18
2025	9	2024	2024	1934.651376146788	Baujahr&nbsp;Wohngebäude	Baujahrwohngebaeude	8	Bachletten	11
2025	9	2024	2024	1925.983623336745	Baujahr&nbsp;Wohngebäude	Baujahrwohngebaeude	9	Gotthelf	6
2025	9	2024	2024	1939.092592592592	Baujahr&nbsp;Wohngebäude	Baujahrwohngebaeude	10	Iselin	13
2025	9	2024	2024	1934.638256343526	Baujahr&nbsp;Wohngebäude	Baujahrwohngebaeude	11	St. Johann	10
2025	9	2024	2024	1881.782758620689	Baujahr&nbsp;Wohngebäude	Baujahrwohngebaeude	12	Altstadt Kleinbasel	2
2025	9	2024	2024	1929.912698412698	Baujahr&nbsp;Wohngebäude	Baujahrwohngebaeude	13	Clara	7
2025	9	2024	2024	1933.373765867418	Baujahr&nbsp;Wohngebäude	Baujahrwohngebaeude	14	Wettstein	9
2025	9	2024	2024	1942.910119421747	Baujahr&nbsp;Wohngebäude	Baujahrwohngebaeude	15	Hirzbrunnen	16
2025	9	2024	2024	1952.539184952978	Baujahr&nbsp;Wohngebäude	Baujahrwohngebaeude	16	Rosental	19
