JAHR	Wohnviertel_id	Wohnviertel	Total	Deutschland	Italien	Türkei	Spanien	Portugal	Nordmazedonien	Jugoslawien	Serbien, Montenegro, Kosovo	Bosnien-Herzegowina	Slowenien	Kroatien	Frankreich	UK	Ukraine	Indien	Schweiz	Übrige Länder
1995	7	Bruderholz	9051	211	126	80	48	26	3	23	0	10	3	9	33	55	0	4	8200	220
1996	7	Bruderholz	8997	229	153	89	53	34	3	17	0	2	4	7	30	57	0	4	8094	221
1997	7	Bruderholz	8990	241	154	92	52	33	11	20	0	3	3	8	22	64	0	6	8039	242
1998	7	Bruderholz	9006	259	144	115	48	31	3	26	0	3	3	6	19	62	1	6	8033	247
1999	7	Bruderholz	8911	273	152	105	51	33	4	34	0	6	4	7	24	63	1	3	7883	268
2000	7	Bruderholz	8982	307	161	102	48	37	3	40	0	10	3	9	33	65	2	2	7882	278
2001	7	Bruderholz	8958	327	166	102	50	40	1	44	0	5	4	8	35	68	2	1	7809	296
2002	7	Bruderholz	8902	340	181	99	49	37	6	37	0	6	4	8	31	86	2	1	7689	326
2003	7	Bruderholz	8850	378	179	100	40	37	8	0	40	6	4	7	37	87	1	1	7576	349
2004	7	Bruderholz	8815	397	176	105	40	24	9	0	31	9	4	7	35	100	3	1	7478	396
2005	7	Bruderholz	8725	450	176	105	40	23	10	0	27	7	5	9	42	94	4	2	7300	431
2006	7	Bruderholz	8680	481	165	97	43	27	10	0	30	6	4	12	49	112	4	2	7224	414
2007	7	Bruderholz	8752	538	174	81	39	30	10	0	29	3	4	14	57	130	4	7	7184	448
2008	7	Bruderholz	8762	566	173	75	37	36	12	0	25	2	4	21	57	135	4	8	7142	465
2009	7	Bruderholz	8846	600	189	77	39	53	8	0	27	2	5	22	67	141	2	11	7108	495
2010	7	Bruderholz	8885	612	207	80	39	50	9	0	33	2	6	18	75	140	2	7	7095	510
2011	7	Bruderholz	8955	623	224	80	48	60	11	0	36	3	5	16	84	156	2	8	7053	546
2012	7	Bruderholz	9005	638	236	86	45	67	16	0	38	3	2	18	98	170	1	8	7013	566
2013	7	Bruderholz	9065	672	243	78	60	55	12	0	50	3	3	20	107	154	2	9	7001	596
2014	7	Bruderholz	9059	653	231	78	75	60	13	0	47	3	3	19	116	161	3	8	6977	612
2015	7	Bruderholz	9065	684	227	74	71	51	11	0	38	4	2	17	147	155	2	16	6970	596
2016	7	Bruderholz	9208	737	241	74	80	48	15	0	35	2	2	18	148	146	7	16	6984	655
2017	7	Bruderholz	9245	705	258	80	82	56	15	0	33	2	3	20	131	136	5	25	7028	666
2018	7	Bruderholz	9357	726	259	70	89	57	15	0	38	2	3	22	128	143	5	41	7046	713
2019	7	Bruderholz	9401	739	251	70	97	52	10	0	38	3	1	23	123	152	4	46	7042	750
2020	7	Bruderholz	9447	733	260	61	102	58	13	0	39	4	1	21	134	163	4	44	7081	729
2021	7	Bruderholz	9439	715	266	57	91	61	10	0	40	2	1	21	148	150	3	46	7106	722
2022	7	Bruderholz	9474	676	267	71	90	67	8	0	32	3	1	27	140	148	42	46	7113	743
1980	8	Bachletten	15091	318	314	48	114	5	0	71	0	0	0	0	111	29	0	2	13816	263
1981	8	Bachletten	15055	309	335	51	111	7	0	72	0	0	0	0	115	32	0	0	13739	284
1982	8	Bachletten	14950	299	310	50	117	8	0	69	0	0	0	0	104	31	0	2	13673	287
1983	8	Bachletten	14758	306	308	65	124	11	0	72	0	0	0	0	100	32	0	0	13497	243
1984	8	Bachletten	14575	269	308	67	103	10	0	74	0	0	0	0	103	31	0	1	13363	246
1985	8	Bachletten	14469	263	293	82	80	3	0	79	0	0	0	0	99	27	0	1	13310	232
1986	8	Bachletten	14332	262	314	81	80	9	0	74	0	0	0	0	107	29	0	0	13128	248
1987	8	Bachletten	14250	257	307	83	72	9	0	87	0	0	0	0	97	35	0	3	13072	228
1988	8	Bachletten	14092	241	297	90	95	14	0	73	0	0	0	0	91	41	0	3	12935	212
1989	8	Bachletten	14029	233	312	87	97	23	0	96	0	0	0	0	83	51	0	2	12840	205
1990	8	Bachletten	13937	237	329	81	98	15	0	93	0	0	0	0	86	50	0	4	12697	247
1991	8	Bachletten	13943	251	311	87	97	21	0	97	0	0	0	0	89	45	0	7	12682	256
1992	8	Bachletten	13993	260	318	94	89	22	0	108	0	0	4	10	84	54	0	7	12640	303
1993	8	Bachletten	13941	261	340	76	83	27	10	110	0	3	3	19	83	49	0	6	12576	295
1994	8	Bachletten	13876	275	336	81	90	27	29	88	0	7	9	19	76	61	0	10	12474	294
1995	8	Bachletten	13786	292	330	87	88	24	31	123	0	12	10	20	70	61	2	10	12313	313
1996	8	Bachletten	13710	323	308	95	92	30	40	118	0	17	9	24	78	59	3	10	12175	329
1997	8	Bachletten	13713	331	322	94	107	32	47	107	0	13	9	25	89	70	0	10	12114	343
1998	8	Bachletten	13598	340	342	105	103	30	47	101	0	13	9	21	94	63	1	8	11959	362
1999	8	Bachletten	13577	357	354	115	103	31	47	111	0	17	8	21	98	64	2	7	11852	390
2000	8	Bachletten	13479	375	332	129	102	26	46	101	0	27	9	25	100	57	4	7	11737	402
2001	8	Bachletten	13358	369	340	131	104	34	47	107	0	30	8	29	98	72	4	10	11521	454
2002	8	Bachletten	13348	432	334	122	97	37	44	102	0	29	8	31	102	80	3	14	11419	494
2003	8	Bachletten	13235	478	314	104	111	37	42	0	103	24	7	28	100	86	3	13	11294	491
2004	8	Bachletten	13292	570	311	118	108	41	37	0	114	21	7	30	95	89	2	13	11206	530
2005	8	Bachletten	13219	632	306	113	115	45	31	0	118	15	5	32	96	95	3	12	11057	544
2006	8	Bachletten	13125	655	309	126	110	50	31	0	126	16	4	39	97	96	5	19	10867	575
2007	8	Bachletten	13216	697	307	128	106	56	35	0	123	18	4	41	98	88	5	18	10884	608
2008	8	Bachletten	13249	723	315	128	111	51	26	0	100	15	2	39	109	99	4	10	10888	629
2009	8	Bachletten	13269	814	334	126	105	51	23	0	92	13	2	37	134	105	5	10	10800	618
2010	8	Bachletten	13134	856	344	116	111	53	26	0	76	13	3	39	126	113	10	12	10638	598
2011	8	Bachletten	13254	876	351	118	112	57	26	0	76	13	3	37	132	122	10	15	10671	635
2012	8	Bachletten	13346	907	355	130	123	66	31	0	75	13	6	39	121	127	11	5	10679	658
2013	8	Bachletten	13408	893	366	131	143	59	39	0	78	14	12	34	133	135	11	38	10644	678
2014	8	Bachletten	13489	900	388	124	141	82	40	0	76	13	13	34	129	125	15	40	10652	717
2015	8	Bachletten	13561	921	381	113	134	76	33	0	86	15	15	30	119	136	15	50	10661	776
2016	8	Bachletten	13541	950	381	107	126	77	35	0	77	15	11	29	133	138	15	46	10592	809
2017	8	Bachletten	13526	956	356	108	120	103	29	0	88	9	12	28	137	138	15	26	10628	773
2018	8	Bachletten	13545	933	355	112	136	103	33	0	97	10	13	30	136	124	8	28	10600	827
2019	8	Bachletten	13657	978	338	124	141	100	33	0	90	10	15	25	122	136	6	33	10597	909
2020	8	Bachletten	13676	953	364	131	160	108	29	0	92	10	16	25	128	149	3	29	10601	878
2021	8	Bachletten	13692	942	336	126	155	110	32	0	84	9	14	25	135	139	5	27	10637	916
2022	8	Bachletten	13837	948	359	129	164	127	29	0	85	9	18	31	129	133	128	35	10599	914
1980	9	Gotthelf	7875	197	435	30	142	11	0	105	0	0	0	0	44	24	0	5	6691	191
1981	9	Gotthelf	7833	199	431	30	149	10	0	97	0	0	0	0	37	25	0	5	6650	200
1982	9	Gotthelf	7789	200	424	37	178	11	0	110	0	0	0	0	40	28	0	10	6560	191
1983	9	Gotthelf	7640	180	382	71	165	14	0	122	0	0	0	0	37	27	0	5	6461	176
1984	9	Gotthelf	7648	168	365	65	147	17	0	128	0	0	0	0	35	25	0	13	6487	198
1985	9	Gotthelf	7601	169	364	88	147	19	0	126	0	0	0	0	48	27	0	12	6408	193
1986	9	Gotthelf	7430	169	354	59	144	18	0	122	0	0	0	0	42	23	0	13	6303	183
1987	9	Gotthelf	7329	161	339	57	139	18	0	127	0	0	0	0	45	25	0	12	6218	188
1988	9	Gotthelf	7280	160	335	53	137	18	0	121	0	0	0	0	31	22	0	13	6199	191
1989	9	Gotthelf	7256	158	308	67	128	18	0	134	0	0	0	0	32	28	0	13	6192	178
1990	9	Gotthelf	7242	162	304	80	132	26	0	156	0	0	0	0	37	25	0	12	6102	206
1991	9	Gotthelf	7256	157	307	76	116	35	0	170	0	0	0	0	30	23	0	16	6095	231
1992	9	Gotthelf	7231	164	284	74	120	39	0	175	0	0	5	9	27	27	0	15	6056	236
1993	9	Gotthelf	7231	180	290	84	117	34	7	154	0	2	9	27	23	30	0	17	5994	263
1994	9	Gotthelf	7207	184	279	102	123	39	30	124	0	7	8	36	21	23	0	20	5956	255
1995	9	Gotthelf	7140	185	282	97	114	40	30	121	0	12	9	27	21	27	0	22	5899	254
1996	9	Gotthelf	7093	184	257	109	120	43	36	119	0	15	8	23	24	31	0	19	5831	274
1997	9	Gotthelf	6952	200	235	100	115	37	36	117	0	22	7	19	26	37	1	22	5726	252
1998	9	Gotthelf	6844	190	237	107	106	42	38	114	0	22	6	22	25	30	1	15	5630	259
1999	9	Gotthelf	6741	187	254	107	100	44	35	118	0	23	5	29	31	26	0	14	5501	267
2000	9	Gotthelf	6651	208	244	125	84	51	34	104	0	21	5	29	28	29	0	11	5397	281
2001	9	Gotthelf	6571	221	236	129	77	43	36	96	0	19	6	32	30	39	0	15	5332	260
2002	9	Gotthelf	6550	246	233	111	81	41	24	96	0	22	6	36	32	39	0	17	5301	265
2003	9	Gotthelf	6619	276	232	118	84	50	25	0	98	20	5	37	42	40	1	20	5278	293
2004	9	Gotthelf	6632	334	233	115	78	46	27	0	100	24	4	34	39	41	2	22	5205	328
2005	9	Gotthelf	6639	392	236	112	83	38	19	0	96	27	4	29	37	41	3	19	5188	315
2006	9	Gotthelf	6636	398	222	99	95	39	17	0	85	24	5	28	35	52	3	11	5199	324
2007	9	Gotthelf	6668	465	226	96	98	48	18	0	79	17	6	24	38	53	8	22	5134	336
2008	9	Gotthelf	6692	494	218	90	96	42	21	0	72	19	7	33	51	50	7	26	5097	369
2009	9	Gotthelf	6768	546	220	92	90	48	17	0	77	16	6	33	63	61	10	21	5059	409
2010	9	Gotthelf	6769	560	222	88	95	49	17	0	79	9	6	27	64	67	6	23	5021	436
2011	9	Gotthelf	6770	591	237	93	98	51	15	0	69	5	5	26	63	67	4	21	5004	421
2012	9	Gotthelf	6832	570	223	92	91	54	20	0	66	5	6	24	67	68	6	31	5057	452
2013	9	Gotthelf	6796	574	223	88	87	68	24	0	67	5	5	28	63	62	8	34	5012	448
2014	9	Gotthelf	6840	596	210	80	94	70	24	0	71	6	4	36	80	75	11	39	4964	480
2015	9	Gotthelf	6841	597	213	76	95	67	24	0	70	6	3	32	77	78	14	35	4951	503
2016	9	Gotthelf	6837	585	217	76	99	60	24	0	80	5	3	34	75	76	11	36	4939	517
2017	9	Gotthelf	6898	583	222	79	102	53	22	0	78	5	2	32	78	67	10	29	4999	537
2018	9	Gotthelf	6936	581	254	78	116	61	18	0	74	9	5	31	73	66	6	41	4972	551
2019	9	Gotthelf	6952	588	242	74	115	68	19	0	72	13	5	27	78	68	7	40	4964	572
2020	9	Gotthelf	6829	535	258	73	115	60	17	0	65	9	6	26	76	69	12	31	4897	580
2021	9	Gotthelf	6793	520	257	71	128	68	15	0	62	6	8	23	77	72	10	37	4853	586
2022	9	Gotthelf	7038	530	258	86	148	73	11	0	73	6	9	22	95	73	95	52	4912	595
1980	10	Iselin	18456	301	1162	115	359	14	0	264	0	0	0	0	132	22	0	19	15711	357
1981	10	Iselin	18111	312	1092	109	364	26	0	260	0	0	0	0	124	27	0	20	15406	371
1982	10	Iselin	17976	296	1091	124	377	33	0	276	0	0	0	0	121	29	0	23	15194	412
1983	10	Iselin	17797	296	1089	132	360	40	0	288	0	0	0	0	120	29	0	28	15046	369
1984	10	Iselin	17625	273	1057	132	393	49	0	300	0	0	0	0	116	29	0	17	14867	392
1985	10	Iselin	17699	280	1066	267	394	54	0	298	0	0	0	0	129	28	0	32	14685	466
1986	10	Iselin	17330	285	1015	207	405	56	0	296	0	0	0	0	127	32	0	26	14452	429
1987	10	Iselin	17091	279	1020	260	377	58	0	305	0	0	0	0	118	36	0	24	14199	415
1988	10	Iselin	17101	287	1035	372	404	76	0	347	0	0	0	0	108	39	0	31	13975	427
1989	10	Iselin	17145	285	1039	433	414	72	0	418	0	0	0	0	98	38	0	32	13855	461
1990	10	Iselin	17119	315	1004	478	443	88	0	469	0	0	0	0	101	47	0	43	13605	526
1991	10	Iselin	17099	331	993	543	432	114	0	567	0	0	0	0	102	52	0	56	13310	599
1992	10	Iselin	17092	366	989	550	433	120	0	563	0	0	10	68	93	54	0	47	13150	649
1993	10	Iselin	16983	374	991	568	423	114	9	533	0	21	13	118	93	62	0	49	12976	639
1994	10	Iselin	16613	371	995	496	422	129	46	431	0	46	13	154	89	53	1	48	12671	648
1995	10	Iselin	16788	372	988	633	410	165	70	495	0	51	12	161	93	54	0	44	12599	641
1996	10	Iselin	16576	398	969	714	401	173	64	490	0	55	12	158	91	43	2	40	12336	630
1997	10	Iselin	16344	374	959	767	386	191	58	520	0	43	16	147	89	44	1	32	12100	617
1998	10	Iselin	16272	360	970	784	396	186	80	594	0	43	14	142	93	46	2	25	11901	636
1999	10	Iselin	16173	379	985	781	405	189	109	567	0	73	12	140	99	48	2	27	11714	643
2000	10	Iselin	15910	413	936	730	395	185	101	525	0	77	11	148	105	50	1	36	11485	712
2001	10	Iselin	15899	430	941	754	384	198	106	536	0	75	13	155	99	57	2	26	11343	780
2002	10	Iselin	15900	495	940	752	384	202	107	550	0	77	9	140	100	56	5	29	11241	813
2003	10	Iselin	16007	535	926	745	391	187	115	0	581	92	10	146	106	62	6	39	11198	868
2004	10	Iselin	16032	598	948	780	387	185	109	0	523	101	9	145	101	59	10	40	11164	873
2005	10	Iselin	15666	609	949	725	357	216	104	0	515	97	8	142	96	56	9	39	10836	908
2006	10	Iselin	15604	688	904	742	327	217	109	0	518	98	7	135	97	74	9	44	10685	950
2007	10	Iselin	15683	774	883	737	320	231	116	0	466	84	6	116	100	87	10	51	10668	1034
2008	10	Iselin	15729	879	857	724	315	246	121	0	429	82	9	98	100	76	13	37	10665	1078
2009	10	Iselin	15744	972	846	722	342	257	97	0	406	80	7	77	100	90	12	52	10521	1163
2010	10	Iselin	15975	1015	833	753	348	257	108	0	404	86	8	79	112	106	13	54	10594	1205
2011	10	Iselin	16118	1048	841	755	351	282	118	0	400	89	9	78	112	113	16	62	10550	1294
2012	10	Iselin	16195	1037	864	765	354	297	117	0	391	93	6	81	106	101	17	64	10552	1350
2013	10	Iselin	16380	1074	877	736	359	339	113	0	412	85	12	87	121	115	17	82	10526	1425
2014	10	Iselin	16454	1103	862	732	391	389	102	0	413	80	10	89	126	108	22	105	10526	1396
2015	10	Iselin	16592	1129	902	738	388	397	111	0	432	69	13	83	137	108	23	90	10497	1475
2016	10	Iselin	16682	1112	895	752	409	407	114	0	441	67	14	85	138	108	25	77	10424	1614
2017	10	Iselin	16849	1137	884	798	387	387	117	0	452	73	16	78	135	123	23	89	10461	1689
2018	10	Iselin	16987	1161	919	798	394	402	126	0	460	75	25	76	157	125	25	80	10464	1700
2019	10	Iselin	16890	1082	914	799	390	392	119	0	422	69	18	72	180	114	23	76	10496	1724
2020	10	Iselin	17027	1127	909	794	407	408	117	0	395	69	20	69	176	125	20	68	10501	1822
2021	10	Iselin	16837	1119	898	750	419	409	120	0	371	64	21	76	168	110	21	68	10369	1854
2022	10	Iselin	16966	1174	899	742	434	397	119	0	364	54	21	84	162	111	136	79	10246	1944
1980	11	St. Johann	19244	488	2192	361	830	84	0	373	0	0	0	0	147	26	0	24	14127	592
1981	11	St. Johann	18952	450	2159	420	880	91	0	409	0	0	0	0	133	40	0	31	13763	576
1982	11	St. Johann	18857	434	2132	469	937	100	0	443	0	0	0	0	125	50	0	36	13534	597
1983	11	St. Johann	18778	419	2042	633	1025	119	0	487	0	0	0	0	130	41	0	40	13248	594
1984	11	St. Johann	18696	415	1988	782	1077	126	0	545	0	0	0	0	127	42	0	51	12945	598
1985	11	St. Johann	18531	397	1981	887	1077	132	0	567	0	0	0	0	130	46	0	50	12676	588
1986	11	St. Johann	18604	382	2003	940	1116	152	0	639	0	0	0	0	124	51	0	48	12524	625
1987	11	St. Johann	18627	387	1936	1023	1142	164	0	677	0	0	0	0	124	52	0	50	12454	618
1988	11	St. Johann	18385	390	1869	1076	1154	174	0	801	0	0	0	0	130	60	0	50	12061	620
1989	11	St. Johann	18251	380	1850	1123	1147	190	0	878	0	0	0	0	125	53	0	49	11837	619
1990	11	St. Johann	18455	416	1849	1202	1175	213	0	962	0	0	0	0	116	56	0	41	11751	674
1991	11	St. Johann	18963	424	1841	1319	1152	217	0	1094	0	0	0	0	119	55	0	49	11913	780
1992	11	St. Johann	19114	424	1815	1377	1132	214	0	1149	0	3	14	79	108	63	0	55	11829	852
1993	11	St. Johann	19789	439	1850	1477	1118	246	65	1100	0	62	19	173	110	73	1	57	12057	942
1994	11	St. Johann	19736	452	1798	1494	1101	279	223	1004	0	82	18	182	113	68	1	69	11922	930
1995	11	St. Johann	19436	471	1760	1393	1095	297	314	991	0	116	18	185	116	50	0	73	11617	940
1996	11	St. Johann	19223	459	1624	1389	1049	317	331	1095	0	122	18	185	106	45	0	64	11433	986
1997	11	St. Johann	19008	473	1588	1396	985	297	352	1068	0	141	17	185	106	42	2	50	11281	1025
1998	11	St. Johann	18504	477	1502	1331	941	296	335	1080	0	130	14	192	100	57	3	54	10971	1021
1999	11	St. Johann	18145	477	1385	1343	880	294	339	1045	0	204	16	176	100	56	4	65	10711	1050
2000	11	St. Johann	17947	499	1325	1331	844	291	350	919	0	229	16	194	92	61	0	57	10662	1077
2001	11	St. Johann	17858	516	1299	1282	831	300	338	891	0	222	15	195	103	61	0	63	10580	1162
2002	11	St. Johann	18013	601	1223	1236	820	373	353	870	0	231	14	211	111	71	1	71	10527	1300
2003	11	St. Johann	17921	666	1131	1183	775	388	369	0	819	232	13	211	120	78	2	68	10477	1389
2004	11	St. Johann	17882	728	1077	1155	712	410	368	0	823	223	10	190	118	79	10	72	10447	1460
2005	11	St. Johann	17743	883	1032	1163	661	465	370	0	775	209	10	166	114	86	10	72	10351	1376
2006	11	St. Johann	17691	959	1016	1142	610	471	351	0	790	196	11	155	130	97	9	57	10251	1446
2007	11	St. Johann	17639	1040	953	1086	550	517	336	0	766	161	11	143	114	107	10	54	10353	1438
2008	11	St. Johann	17800	1159	923	1078	516	559	311	0	734	139	9	133	127	106	11	75	10439	1481
2009	11	St. Johann	17997	1279	916	1043	507	549	316	0	740	123	9	131	129	132	9	116	10412	1586
2010	11	St. Johann	18266	1331	900	1020	508	584	324	0	705	123	9	119	124	127	11	103	10581	1697
2011	11	St. Johann	18465	1389	889	1024	522	616	324	0	673	109	8	131	134	158	15	133	10590	1750
2012	11	St. Johann	18638	1387	869	1013	534	696	315	0	646	112	9	129	141	179	16	148	10610	1834
2013	11	St. Johann	18873	1428	899	1013	574	722	309	0	610	109	15	127	152	186	15	195	10579	1940
2014	11	St. Johann	18958	1473	908	1001	560	698	303	0	578	98	15	135	166	183	16	210	10657	1957
2015	11	St. Johann	18810	1432	905	938	566	689	300	0	527	93	28	137	179	184	20	185	10640	1987
2016	11	St. Johann	18758	1445	923	916	554	717	267	0	545	89	30	125	170	184	21	158	10617	1997
2017	11	St. Johann	18680	1417	922	895	526	695	254	0	533	91	26	120	172	175	19	165	10646	2024
2018	11	St. Johann	18684	1473	915	893	519	685	245	0	528	96	25	112	191	180	23	168	10567	2064
2019	11	St. Johann	18502	1507	901	828	500	652	227	0	518	96	28	111	197	164	23	159	10493	2098
2020	11	St. Johann	18743	1481	913	800	497	632	232	0	512	89	27	97	213	182	23	198	10652	2195
2021	11	St. Johann	18863	1484	905	766	519	590	217	0	502	86	28	93	201	160	22	186	10931	2173
2022	11	St. Johann	19320	1514	904	731	514	596	218	0	495	72	28	104	197	147	155	222	11073	2350
1980	12	Altstadt Kleinbasel	2849	77	200	21	75	3	0	37	0	0	0	0	14	6	0	0	2334	82
1981	12	Altstadt Kleinbasel	2761	86	191	35	65	4	0	34	0	0	0	0	15	7	0	0	2227	97
1982	12	Altstadt Kleinbasel	2822	83	175	64	93	9	0	38	0	0	0	0	19	6	0	0	2238	97
1983	12	Altstadt Kleinbasel	2814	82	175	105	94	10	0	44	0	0	0	0	19	7	0	1	2162	115
1984	12	Altstadt Kleinbasel	2832	83	183	104	85	12	0	53	0	0	0	0	25	12	0	7	2153	115
1985	12	Altstadt Kleinbasel	2811	83	177	107	89	10	0	55	0	0	0	0	23	14	0	0	2172	81
1986	12	Altstadt Kleinbasel	2726	81	168	93	91	9	0	58	0	0	0	0	17	10	0	1	2106	92
1987	12	Altstadt Kleinbasel	2675	81	165	53	81	12	0	67	0	0	0	0	16	11	0	2	2099	88
1988	12	Altstadt Kleinbasel	2634	79	157	61	84	11	0	62	0	0	0	0	19	13	0	1	2069	78
1989	12	Altstadt Kleinbasel	2598	73	144	42	82	8	0	70	0	0	0	0	18	13	0	0	2058	90
1990	12	Altstadt Kleinbasel	2620	80	154	51	76	4	0	82	0	0	0	0	20	13	0	4	2034	102
1991	12	Altstadt Kleinbasel	2645	97	163	51	69	8	0	95	0	0	0	0	20	7	0	2	2019	114
1992	12	Altstadt Kleinbasel	2657	93	165	46	66	11	0	102	0	0	0	18	16	5	0	2	2022	111
1993	12	Altstadt Kleinbasel	2666	93	150	44	70	13	0	102	0	4	0	23	15	6	0	2	2013	131
1994	12	Altstadt Kleinbasel	2661	94	144	52	75	10	12	114	0	10	0	24	16	5	0	2	1980	123
1995	12	Altstadt Kleinbasel	2598	91	145	78	73	10	9	92	0	9	1	21	16	9	0	3	1921	120
1996	12	Altstadt Kleinbasel	2520	83	136	72	66	9	12	81	0	8	1	26	18	9	1	3	1884	111
1997	12	Altstadt Kleinbasel	2416	95	106	65	66	14	7	75	0	9	1	23	18	4	2	1	1822	108
1998	12	Altstadt Kleinbasel	2405	85	101	70	63	11	6	76	0	12	1	24	13	4	1	1	1833	104
1999	12	Altstadt Kleinbasel	2395	84	99	55	50	11	5	90	0	22	2	24	12	10	2	1	1815	113
2000	12	Altstadt Kleinbasel	2345	83	103	53	45	11	6	77	0	23	2	21	12	7	2	0	1766	134
2001	12	Altstadt Kleinbasel	2341	87	100	51	44	10	5	64	0	25	2	16	12	18	0	1	1753	153
2002	12	Altstadt Kleinbasel	2365	103	94	55	43	10	7	62	0	19	0	19	12	19	1	1	1756	164
2003	12	Altstadt Kleinbasel	2304	106	80	53	43	11	8	0	62	15	0	20	13	20	1	2	1703	167
2004	12	Altstadt Kleinbasel	2317	118	81	57	38	11	9	0	63	11	0	16	14	24	0	4	1693	178
2005	12	Altstadt Kleinbasel	2256	118	90	40	41	11	11	0	63	6	1	8	18	26	1	1	1646	175
2006	12	Altstadt Kleinbasel	2253	139	82	40	40	13	10	0	63	6	0	8	14	23	4	4	1616	191
2007	12	Altstadt Kleinbasel	2216	159	72	48	33	12	7	0	59	6	1	10	14	25	3	1	1569	197
2008	12	Altstadt Kleinbasel	2217	186	73	42	28	11	14	0	52	7	1	8	10	23	1	2	1564	195
2009	12	Altstadt Kleinbasel	2283	201	81	35	33	13	16	0	44	7	2	10	14	27	1	9	1575	215
2010	12	Altstadt Kleinbasel	2266	208	71	37	35	13	18	0	39	7	2	9	21	24	1	9	1555	217
2011	12	Altstadt Kleinbasel	2271	188	74	33	35	11	17	0	45	2	1	9	22	30	1	11	1570	222
2012	12	Altstadt Kleinbasel	2288	177	78	34	41	11	22	0	41	2	1	11	29	27	1	12	1554	247
2013	12	Altstadt Kleinbasel	2380	199	77	32	52	14	21	0	43	2	1	9	33	36	0	10	1555	296
2014	12	Altstadt Kleinbasel	2445	195	88	43	48	18	26	0	48	3	1	13	28	41	1	13	1571	308
2015	12	Altstadt Kleinbasel	2435	189	93	41	52	19	25	0	47	3	5	7	29	33	1	11	1562	318
2016	12	Altstadt Kleinbasel	2496	206	101	37	53	19	27	0	43	5	5	8	38	35	1	17	1556	345
2017	12	Altstadt Kleinbasel	2464	205	91	37	48	15	20	0	54	2	5	7	44	40	0	23	1548	325
2018	12	Altstadt Kleinbasel	2445	222	109	36	50	18	22	0	46	3	6	9	45	34	0	12	1525	308
2019	12	Altstadt Kleinbasel	2409	211	118	33	52	20	23	0	48	4	6	10	40	37	0	20	1485	302
2020	12	Altstadt Kleinbasel	2414	235	108	32	57	18	22	0	46	4	6	9	32	31	0	21	1477	316
2021	12	Altstadt Kleinbasel	2361	229	108	31	59	24	15	0	36	3	7	8	26	23	1	19	1455	317
2022	12	Altstadt Kleinbasel	2425	244	120	32	68	24	8	0	40	2	6	9	31	19	10	20	1455	337
1980	13	Clara	4029	113	513	59	135	6	0	91	0	0	0	0	22	8	0	1	2990	91
1981	13	Clara	4029	113	494	77	154	12	0	95	0	0	0	0	25	10	0	1	2933	115
1982	13	Clara	4042	102	527	113	153	7	0	117	0	0	0	0	26	7	0	0	2864	126
1983	13	Clara	4044	101	514	203	173	7	0	98	0	0	0	0	20	5	0	0	2813	110
1984	13	Clara	4178	92	524	248	156	7	0	137	0	0	0	0	21	6	0	1	2863	123
1985	13	Clara	4118	97	494	238	158	8	0	149	0	0	0	0	24	8	0	0	2815	127
1986	13	Clara	4064	90	475	216	153	11	0	141	0	0	0	0	23	5	0	0	2805	145
1987	13	Clara	4012	87	462	236	136	18	0	157	0	0	0	0	24	7	0	1	2738	146
1988	13	Clara	4025	96	445	262	137	18	0	195	0	0	0	0	27	5	0	1	2676	163
